City Name,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
Punta Arenas,35.6,80,0,3.36,-53.16
Bluff,89.18,30,76,9.4,-23.58
Rikitea,75.05,95,48,7.94,-23.12
Castro,44.63,100,92,13.76,-42.48
East London,64.4,68,20,17.22,-33.02
Bahia de Caraquez,71.6,88,75,6.93,-0.6
Vaini,86.12,63,24,2.46,15.34
Cape Town,60.8,63,20,13.87,-33.93
Tuktoyaktuk,21.68,100,76,19.01,69.44
Bredasdorp,60.8,67,76,2.24,-34.53
Mataura,55.43,61,64,19.69,-46.19
Atuona,80.18,100,8,17.78,-9.8
Avarua,68,88,75,5.82,-21.21
Hermanus,56.15,78,48,3.58,-34.42
Maniitsoq,28.79,100,80,16.22,65.42
Sao Filipe,77.84,100,32,7.72,14.9
Chapais,32,100,90,20.8,49.78
Khatanga,29.96,90,80,20.24,71.98
Qaanaaq,13.04,100,64,2.68,77.48
Taoudenni,62.36,44,0,2.46,22.68
Makaha,78.8,88,40,4.7,21.47
Hobart,68,68,75,10.29,-42.88
Pano Aqil,85.76,38,32,8.39,27.86
Santa Helena de Goias,70.28,90,8,2.91,-17.81
Butaritari,84.68,100,44,7.49,3.07
Ponta do Sol,63.98,94,8,2.46,-20.63
Nikolskoye,48.2,76,0,4.47,59.7
Dikson,32.75,100,76,16.67,73.51
Mar del Plata,47.78,56,20,16.44,-46.43
Darhan,51.11,81,92,4.36,49.49
Seguin,48.2,87,90,5.82,29.57
Souillac,55.4,100,90,2.24,45.6
Jamestown,62,63,80,15.21,-33.21
Ushuaia,39.2,100,75,21.92,-54.81
Kaitangata,56.06,57,32,23.26,-46.28
Erenhot,55.61,38,0,4.7,43.65
Ewa Beach,78.8,73,1,9.17,21.32
Fortuna,62.6,77,90,6.93,38.18
Sulangan,82.16,100,20,4.92,11.14
Inhambane,78.8,83,40,3.36,-23.87
Kosh-Agach,46.61,39,8,8.61,49.99
Chokurdakh,25.73,84,68,14.2,70.62
Altay,45.53,54,20,6.49,47.83
Clyde River,26.6,92,90,12.75,70.47
Hilo,73.4,94,90,9.17,19.71
Waipawa,59.03,51,0,11.41,-39.94
Carnarvon,46.88,79,8,4.47,-30.97
Busselton,65.96,95,44,6.6,-33.64
Tura,82.34,76,0,2.35,25.52
Dullewala,74.69,58,0,4.59,31.84
Labuhan,84.86,74,76,3.02,-2.54
Sao Miguel do Araguaia,76.31,89,48,2.57,-13.28
Marolambo,71.81,84,0,3.47,-20.05
Aripuana,78.56,84,12,1.68,-9.17
Coquimbo,53.6,87,90,5.82,-29.95
Vardo,59,58,1,13.87,39.62
Grootfontein,69.8,22,0,4.7,-19.56
Tasiilaq,34.1,100,80,4.47,65.61
Sudislavl,44.81,90,0,10.96,57.88
Le Vauclin,78.8,94,76,10.29,14.55
Kavieng,83.06,100,76,3.36,-2.57
Semporna,84.2,74,75,5.82,4.48
Maldonado,57.2,87,0,3.36,-34.91
Barrow,70.01,41,92,15.99,-38.31
Uromi,75.23,96,92,5.03,6.71
Vysokopillya,55.4,71,0,6.71,47.49
Port Elizabeth,62.6,82,90,8.05,39.31
Sinnamary,80.54,97,0,8.61,5.38
Nyurba,36.98,69,36,5.93,63.29
Grindavik,44.6,93,90,14.99,63.84
Nauta,75.59,93,8,2.46,-4.51
Ilulissat,26.6,73,88,13.87,69.22
Margate,68,68,75,10.29,-43.03
Cockburn Town,81.35,100,80,16.78,21.46
Lorengau,79.64,100,48,2.01,-2.02
Baruun-Urt,53.09,36,0,4.47,46.68
Mutoko,77.03,57,36,3.58,-17.4
Hailey,32,67,1,9.17,43.52
Klaksvik,48.2,76,76,27.51,62.23
Mareeba,82.4,65,40,9.17,-16.99
Georgetown,75.2,100,0,4.7,6.8
Narsaq,24.8,49,20,4.7,60.91
Tautira,78.8,69,20,4.7,-17.73
Maningrida,84.41,73,12,12.64,-12.05
Soyo,74.69,93,80,3.36,-6.13
Namibe,69.11,100,0,4.14,-15.19
Houlton,53.6,100,90,8.05,46.13
Novonikolayevskiy,55.07,84,0,4.47,50.97
Thompson,23,92,90,8.05,55.74
Dwarka,89.18,46,48,4.59,28.58
Okhotsk,34.64,97,0,7.05,59.36
Tocopilla,54.98,100,64,1.12,-22.09
Lompoc,57.2,81,1,3.36,34.64
Puerto Ayora,68.57,100,8,11.18,-0.74
Luderitz,60.8,67,0,8.05,-26.65
Tuatapere,52.37,87,88,21.7,-46.13
New Norfolk,68,68,75,10.29,-42.78
Saldanha,50.93,100,92,3.36,41.42
Albany,46.4,48,40,13.87,42.65
Mayo,37.4,95,90,11.41,63.59
Gbadolite,72.08,96,36,4.14,4.28
Saint-Francois,51.8,87,0,2.68,46.42
Makakilo City,78.8,73,1,9.17,21.35
Ruteng,81.44,83,48,5.14,-8.61
Tigre,68,72,0,3.36,-34.42
Pacifica,62.6,98,1,3.36,37.61
Requena,57.2,76,20,4.7,39.49
Floresta,80.18,50,92,8.72,-8.6
Shihezi,54.71,64,0,4.59,44.3
Gaoyou,70.37,71,24,9.51,32.79
Anadyr,35.6,92,90,13.42,64.73
Guerrero Negro,60.65,77,0,7.61,27.97
Pevek,28.61,100,12,12.75,69.7
Yerbogachen,38.78,66,68,9.17,61.28
Coro,77.66,96,24,7.38,11.41
Zhaotong,52.19,91,68,3.02,27.34
Christchurch,51.8,81,0,13.87,-43.53
Innoshima,71.6,68,75,4.7,34.28
Nanortalik,35.09,92,12,22.7,60.14
Pacific Grove,59,99,1,0.45,36.62
Srednekolymsk,20.87,85,0,4.92,67.46
Faanui,80,100,0,12.53,-16.48
Mitchell,44.6,56,1,16.11,43.71
Flagstaff,46.4,33,1,11.41,35.2
Nelson Bay,71.6,64,0,13.87,-32.72
Baltay,50.21,92,0,6.04,52.47
Shimoda,68,72,75,8.05,34.7
Am Timan,72.89,54,0,3.47,11.04
Samarai,80.18,99,88,13.09,-10.62
Hokitika,51.83,98,88,11.97,-42.72
Finschhafen,76.76,88,56,2.35,-6.6
Hamilton,41,100,20,8.05,43.26
Filingue,73.97,75,8,2.68,14.35
Solnechnyy,35.63,98,92,13.2,50.72
Tondano,80.6,83,40,4.7,1.3
Calabozo,78.83,63,0,11.52,8.92
Port Alfred,64.52,83,88,13.09,-33.59
Kamenka,48.86,90,0,8.72,53.19
Leningradskiy,31.76,100,56,16.78,69.38
Constitucion,60.02,66,64,3.91,23.99
Saint-Augustin,51.8,100,20,2.24,44.83
Hobyo,80.27,80,12,6.93,5.35
Ulaangom,49.31,49,0,2.46,49.98
Mangrol,91.07,44,0,4.59,25.33
Provideniya,41,75,75,17.9,64.42
Upernavik,20.6,100,0,12.75,72.79
Cidreira,62.45,91,0,12.41,-30.17
Los Llanos de Aridane,69.8,68,75,10.29,28.66
Coahuayana,64.61,94,56,1.9,18.62
Umm Lajj,82.61,76,0,4.7,25.02
Albert Lea,37.4,69,1,8.05,43.65
Cabo San Lucas,77.48,100,68,6.15,22.89
Kieta,75.68,100,92,1.45,-6.22
Vila,59,87,88,3.36,45.18
Katsuura,68,72,75,9.17,33.93
Durban,59,100,0,6.93,43.54
Yabelo,71.09,81,8,3.91,4.89
Camacha,69.8,83,75,14.99,33.08
Scarborough,53.6,100,88,3.36,54.28
Kapaa,78.8,65,75,13.87,22.08
Esperance,77,100,20,3.91,10.24
Otradnoye,48.2,76,0,4.47,59.77
Richards Bay,68.39,92,64,2.57,-28.77
Rafsanjan,62.27,54,0,3.36,30.4
Port Augusta,69.8,46,90,16.11,-32.49
Saskylakh,27.08,78,0,17.78,71.97
Bukama,74.33,91,92,3.47,-9.2
Kudligi,83.96,81,36,5.7,14.91
Batemans Bay,64.7,89,80,9.62,-35.71
Birjand,64.4,25,20,4.03,32.86
Lagoa,60.8,100,75,2.24,37.14
Husavik,38.78,95,32,14.43,50.56
Vestmannaeyjar,46.4,100,75,27.51,63.44
Concepcion del Uruguay,57.68,81,0,5.37,-32.48
Mahebourg,78.8,57,40,16.11,-20.41
Gat,77,94,92,4.7,14.69
Poronaysk,44.63,84,0,9.95,49.22
Sangar,23.57,79,0,6.15,63.92
Severo-Kurilsk,46.43,86,24,7.72,50.68
Dunedin,55.97,56,20,13.2,-45.87
Cayenne,75.2,100,0,2.24,4.94
San Juan del Sur,75.59,100,92,2.91,11.25
Longyearbyen,37.4,100,75,5.82,78.22
Auki,74.96,76,24,3.02,12.18
Shuangyang,76.04,79,92,3.69,25
Totma,44.45,91,0,10.18,59.98
Bathsheba,80.6,83,40,20.8,13.22
Puerto Ayacucho,71.99,97,12,1.34,5.66
Kahului,75.2,88,75,4.7,20.89
Barcelos,60.8,93,75,2.35,41.53
Innisfail,46.4,63,75,6.93,52.02
Kuching,89.6,66,75,5.82,1.56
Yantal,40.13,70,24,3.47,56.85
Qaqortoq,24.8,49,20,4.7,60.72
San Javier,62.6,72,0,8.05,37.81
Baiquan,46.79,47,0,11.63,47.61
Ostersund,39.2,86,0,2.24,63.18
Tiznit,62,99,0,0.34,29.7
Hereford,49.04,98,56,4.36,52.06
Santa Luzia,51.8,81,0,10.29,-19.77
Saint-Joseph,64.4,67,92,3.36,43.56
Saint-Gilles,62.6,87,0,3.36,43.68
Nuuk,24.8,92,76,17.22,64.17
Rykhtychi,51.8,71,0,6.71,49.39
Isangel,75.5,100,88,22.7,-19.55
Bethel,44.6,87,90,10.29,60.79
Santa Maria,56.69,90,0,6.6,-29.69
Vao,52.64,78,0,11.18,59.1
Saint-Philippe,42.8,60,40,12.75,45.36
Hasaki,68,82,90,8.05,35.73
Khasan,50.84,100,0,11.97,42.43
Codrington,64.61,94,92,6.38,-28.95
Redmond,53.6,76,1,5.03,47.67
Bandarbeyla,76.22,93,0,8.5,9.49
Torbay,35.6,93,75,6.93,47.66
Waddan,58.76,83,0,2.91,29.16
Brae,51.8,81,20,20.8,60.4
Maxixe,78.8,83,40,3.36,-23.86
Kovur,84.23,80,76,5.48,14.5
Castelbuono,59.03,100,92,2.13,37.93
Plettenberg Bay,60.2,100,64,9.95,-34.05
Japura,81.35,86,68,2.35,-0.42
Ancud,45.71,95,92,15.55,-41.87
Lodja,75.68,91,48,3.13,-3.52
Pizarro,79.1,95,92,4.7,4.95
Cheremukhovo,47.51,96,0,7.49,56.23
Champerico,71.45,97,76,2.13,16.38
Aguimes,71.6,64,75,13.87,27.91
Tapes,59.21,96,0,9.62,-30.67
Dicabisagan,80.18,100,36,2.57,17.08
Saint-Pierre,48.2,81,0,10.29,48.95
Lebu,65.78,50,0,4.03,8.96
Santa Rosalia,68,82,75,8.05,38.07
Yenagoa,74.69,95,68,2.91,4.92
Phalodi,89.63,34,88,4.7,27.13
Phan Thiet,84.68,89,12,8.16,10.93
Ullal,87.8,70,40,6.38,12.8
San Policarpo,80.9,100,48,2.35,12.18
Danielskuil,59.84,39,0,3.58,-28.19
Espanola,35.36,87,8,8.05,46.27
Chuy,56.06,89,0,12.64,-33.69
Cheremshanka,47.15,75,12,10.4,51.44
Norman Wells,30.2,92,75,4.7,65.28
Pokhvistnevo,45.98,95,88,8.16,53.65
Grand Gaube,78.8,57,40,16.11,-20.01
Vestmanna,48.2,76,64,27.51,62.16
Sayansk,46.43,62,0,5.37,54.11
Waris Aliganj,89.99,50,0,6.15,25.02
Mwanza,75.2,78,20,6.93,-2.52
Tromso,46.4,65,75,18.34,69.65
Aswan,75.2,38,0,6.93,24.09
Maumere,88.01,88,0,6.6,-8.63
Saint-Dizier,48.2,93,0,2.24,48.64
Batagay-Alyta,16.46,85,8,2.68,67.8
Sulam,78.8,61,20,4.7,32.61
Itoman,80.6,69,20,13.87,26.12
Teterow,44.6,87,20,1.12,53.77
Tortoli,62.6,82,75,4.7,39.93
Jalu,68.21,58,0,2.91,29.03
Idah,74.15,97,48,5.93,7.11
Kangaatsiaq,28.52,100,76,20.13,68.31
Opuwo,62.99,22,0,4.7,-18.06
Karatau,36.08,71,64,14.54,43.18
North Bend,44.6,87,1,1.9,43.41
Baijiantan,53.99,91,0,3.91,45.63
Ngunguru,61.37,91,44,11.18,-35.62
Novocheremshansk,48.59,92,80,7.05,54.35
Palmares do Sul,60.8,93,0,3.36,-30.26
Vuktyl,38.24,97,92,5.48,63.86
Kaduqli,78.92,66,44,4.14,11.01
Port Macquarie,69.8,68,90,16.11,-31.43
Arlit,73.88,31,20,2.91,18.74
Saint George,62.6,72,75,5.82,39.45
Volksrust,60.29,43,0,2.68,-27.36
Suntar,39.95,67,36,6.04,62.16
Kodiak,33.8,85,1,6.93,39.95
Del Rio,44.6,100,90,13.87,29.36
Sibolga,72.98,95,92,2.57,1.74
Tawau,84.2,74,75,5.82,4.26
Homer,51.8,93,90,6.71,59.64
Arraial do Cabo,69.02,100,92,17.67,-22.97
Ust-Nera,9.53,94,56,2.01,64.57
Fayaoue,74.96,100,92,23.82,-20.65
Shiyan,66.86,60,20,3.02,32.65
Karratha,99.26,9,0,11.97,-20.74
El Corozal,75.2,100,20,4.7,19.36
Hirara,82.4,88,75,3.36,24.8
Chimoio,69.8,100,40,4.7,-19.11
Halifax,59,100,90,24.16,44.65
Ribeira Grande,66.2,77,40,4.7,38.52
Wewak,80.18,95,36,2.57,-3.55
Mount Gambier,62.18,89,92,6.38,-37.83
Laguna,62.54,83,0,2.35,27.52
Yellowknife,23,92,75,4.7,62.45
Longyan,64.79,100,92,2.46,25.1
Mbanza-Ngungu,71.63,96,0,4.03,-5.25
Banamba,70.73,85,48,3.36,13.55
Troutdale,62.6,29,1,24.16,45.53
Winchester,57.2,100,90,1.12,51.06
Viedma,62.09,27,48,13.65,-40.81
Poum,51.8,81,20,2.24,41.28
Itacare,77.75,90,68,7.61,-14.28
West Monroe,53.6,100,92,4.7,32.52
Bilibino,17.18,82,68,2.46,68.06
Hovd,44.6,93,75,6.93,63.83
Safford,50,81,90,14.99,32.83
Amga,28.43,64,0,3.69,60.89
Victoria,87.8,74,75,2.24,5.28
Hithadhoo,84.05,100,0,3.36,-0.6
Healesville,66.2,93,75,10.29,-37.65
Impfondo,75.14,95,56,3.02,1.62
Mananjary,74.15,46,0,3.91,-19.16
Guaitarilla,46.61,90,20,1.34,1.13
Alta Floresta,74.6,93,0,2.01,-9.87
Great Yarmouth,53.6,100,90,6.93,52.61
Aykhal,29.15,88,92,5.48,65.95
Pangnirtung,16.73,100,68,13.98,66.15
Sharjah,91.4,66,20,5.82,25.36
La Ronge,35.6,69,90,12.75,55.1
Iralaya,80.54,93,92,8.61,15
Ornskoldsvik,39.2,93,0,5.82,63.29
Srivardhan,90.89,63,8,3.58,18.03
Jha Jha,89.36,47,0,5.7,24.77
Adrar,71.6,30,48,14.99,27.87
Alexandria,64.4,82,90,4.7,31.31
Aberdeen,46.4,84,1,13.87,45.47
Tailai,48.41,49,0,8.72,46.39
Sabang,83.69,90,56,3.58,13.72
Boueni,84.2,70,20,4.7,-12.9
Wanning,42.8,87,0,1.12,48.64
Xinyu,65.78,93,92,6.04,27.8
Xam Nua,79.01,70,32,2.01,20.42
Havoysund,42.8,70,0,6.93,71
Cuitlahuac,80.6,88,20,4.36,18.82
Zorritos,68.84,98,92,2.68,-3.68
Nizhniy Baskunchak,53.45,74,20,4.36,48.22
Airai,88.73,36,64,1.12,-8.93
Namangan,44.6,81,90,6.93,41
Shelburne,39.2,69,75,10.29,44.08
Astoria,55.4,76,1,6.93,46.19
Brookings,46.4,74,1,8.05,44.31
Talnakh,26.99,100,92,16.22,69.49
Zhoucheng,68.75,66,80,6.38,31.35
Tazovskiy,26.45,91,92,22.48,67.47
Ahuimanu,78.8,69,90,9.17,21.44
Doha,95,34,8,5.82,25.29
Touros,76.22,88,48,5.93,-5.2
Yumen,54.62,55,0,13.76,40.29
Tiksi,29.78,84,80,17.11,71.64
San Cristobal,53.6,87,40,4.7,-0.39
Howard Springs,89.6,62,75,11.41,-12.5
Geraldton,30.2,86,90,8.05,49.72
Likasi,71.81,83,12,4.03,-10.99
Paternion,50,93,75,1.12,46.71
Osterhofen,44.63,78,0,2.68,48.7
Payo,84.14,100,20,1.57,-3.75
Namatanai,81.71,100,80,1.45,-3.66
Gazanjyk,51.29,68,0,4.14,39.24
Ushtobe,37.61,89,92,8.39,45.25
Bell Ville,61.01,52,0,11.74,-32.63
Nyimba,85.13,44,0,9.62,-14.56
Seminole,39.2,69,90,11.41,32.72
Muros,44.6,100,0,3.36,42.77
Cherskiy,20.42,79,20,7.61,68.75
San Patricio,59.03,88,0,2.01,-26.98
Kutum,69.38,22,0,13.2,14.2
Faya,68,56,0,11.41,18.39
Kununurra,105.8,13,32,6.93,-15.77
Belaya Gora,19.97,93,8,9.4,68.54
Iskateley,40.94,95,92,19.24,67.68
Suhbaatar,51.65,76,0,4.14,50.23
Tateyama,71.6,46,75,6.93,36.66
Sioux Lookout,33.8,98,90,9.17,50.1
Skrunda,53.6,76,0,4.7,56.68
Turukhansk,31.13,94,88,15.66,65.8
Ostrovnoy,38.78,97,80,4.7,68.05
Kavaratti,83.78,100,32,4.92,10.57
Marsa Matruh,69.8,77,0,3.58,31.35
Leh,30.14,39,80,2.01,34.16
Bubaque,77.66,100,76,9.51,11.28
Magadan,41,56,88,4.47,59.56
West Bay,55.4,100,75,2.24,50.71
Okha,42.65,98,92,24.72,53.59
Kimbe,80.72,100,68,2.46,-5.56
Constantine,55.4,100,75,2.13,36.36
Ialibu,75.2,60,75,11.41,-6.28
Truro,53.6,93,20,4.7,50.26
Hofn,46.16,98,92,24.05,64.25
Nouadhibou,69.8,88,90,9.17,20.93
San Martin,62.6,90,1,2.01,37.08
Tobol,46.4,93,90,8.05,59.83
Votkinsk,42.47,100,88,5.48,57.05
Amapa,78.8,94,75,2.24,15.09
Curuca,80.45,77,0,4.7,-2.52
Bonfim,64.79,98,44,5.48,-20.33
Kayerkan,27.98,97,92,19.46,69.35
Marapanim,80.81,100,20,12.64,-0.71
Fairbanks,42.8,93,75,8.05,64.84
Chalchihuites,52.91,96,44,3.02,23.48
Road Town,82.4,78,20,9.17,18.42
Cerro Largo,62.36,93,0,7.61,-28.15
Fort Nelson,50,81,75,3.36,58.81
Lazaro Cardenas,46.79,73,92,10.74,28.39
Derbent,53.72,76,0,3.69,42.06
Kruisfontein,62,90,76,11.07,-34
San Rafael,61.91,25,92,3.36,-34.61
Jian,89.18,44,0,2.13,25.65
Divnogorsk,35.6,73,75,11.18,55.96
Mporokoso,71.63,77,32,4.59,-9.37
Sili,67.67,89,92,4.36,28.38
Santa Quiteria,57.2,93,20,3.36,37.67
Paamiut,33.92,100,32,19.24,61.99
Miyako,69.8,56,75,12.75,33.63
Vargem Alta,64.88,100,92,3.69,-20.67
Rio Grande,59.75,96,0,11.52,-32.03
Phalaborwa,71.6,60,80,16.11,-23.95
Nagapattinam,84.59,94,44,5.37,10.76
Tadine,72.8,100,92,19.69,-21.55
Saint Anthony,30.2,68,1,3.36,43.97
Craig,26.6,79,1,2.13,40.52
Oeiras,74.96,91,64,6.93,-7.01
Beaverlodge,48.2,45,90,3.36,55.21
Iranshahr,87.8,20,0,4.36,27.21
Kloulklubed,84.2,74,75,13.87,7.04
Astana,32,93,90,15.66,51.13
Luangwa,85.58,43,64,10.4,-15.62
Dondo,80.6,83,75,10.29,-19.62
Chara,62.6,72,75,5.82,39.42
Puerto Madero,68,72,0,9.17,-34.61
Yuci,64.4,16,0,11.18,37.68
Kirakira,82.7,100,20,11.41,-10.46
Tessalit,62.36,32,0,3.91,20.2
High Level,30.2,80,75,2.13,58.52
Hauterive,51.8,93,20,3.36,46.09
Aksu,44.6,81,75,8.95,52.04
Narasannapeta,88.46,86,0,2.91,18.42
Oktyabrskiy,48.2,87,8,6.71,55.61
Pisco,60.8,87,0,9.17,-13.71
Shambu,59.48,97,88,3.91,9.57
Slave Lake,46.4,81,90,6.93,55.28
Lewisville,46.4,93,90,8.05,33.05
Strezhevoy,37.4,69,0,8.95,60.73
Kampot,89.45,71,0,6.15,10.62
Kirkwall,50,81,20,26.4,58.98
Nome,69.8,88,90,11.41,30.04
Haines Junction,36.71,82,8,5.03,60.75
Tiarei,78.8,69,20,4.7,-17.53
Mehamn,42.8,100,0,9.17,71.03
Ust-Maya,24.92,64,68,3.58,60.42
Sabzevar,54.35,56,20,6.04,36.21
Enumclaw,53.6,100,1,2.13,47.2
Alugan,80.9,100,48,2.35,12.22
Malchin,44.6,87,20,1.12,53.74
Fuengirola,62.6,88,20,4.7,36.54
Hambantota,84.23,94,12,6.15,6.12
Yaan,72.71,96,20,7.49,7.38
Sidney,48.2,57,90,10.29,47.72
Ahar,48.41,90,88,3.13,38.48
Ketchikan,48.2,75,1,11.41,55.34
Arauco,48.2,93,0,4.7,-37.25
Tilichiki,33.56,70,0,11.63,60.47
Edea,77,88,75,9.17,3.8
Dubbo,82.4,32,40,12.75,-32.25
Xuddur,77.66,72,8,6.04,4.12
Atar,71.45,37,0,3.02,20.52
Chon Buri,91.4,55,20,11.41,13.36
Macau,73.16,88,56,4.59,-5.11
Ambovombe,80.63,66,32,2.91,-25.18
Pangody,27.35,87,92,25.5,65.85
Vila Velha,78.8,83,20,3.36,-3.71
Ilovlya,60.8,72,0,4.47,49.31
Yeppoon,84.2,51,0,13.87,-23.13
Ust-Kulom,44.27,98,92,6.49,61.69
Escanaba,33.8,74,75,10.29,45.75
Weihe,56.06,76,88,2.13,32.99
San Ramon,69.56,97,92,2.01,12.92
Aviles,51.8,87,0,8.05,43.55
Katobu,90.44,64,12,1.12,-4.94
Mpika,76.04,50,0,9.95,-11.84
Bilma,68.66,28,0,3.02,18.69
Poptun,73.34,90,20,2.01,16.33
Hami,69.56,37,8,16.22,42.84
Dakar,80.6,88,20,9.17,14.69
Kozhva,43.46,94,64,8.05,65.11
Rossland,28.16,80,0,1.45,49.08
Visnes,44.6,100,0,9.17,59.36
Khani,73.4,46,0,19.46,41.96
Mount Isa,82.4,45,44,4.7,-20.73
Lima,55.52,81,44,2.35,-12.06
Coihaique,37.4,93,20,3.36,-45.58
Port Lincoln,57.68,99,92,21.47,-34.72
Oistins,80.6,83,40,20.8,13.07
Arsenyev,40.31,69,76,5.7,44.16
Fort Saint James,39.59,80,0,2.13,54.43
Broome,57.2,100,90,6.93,52.47
Naifaru,82.97,100,0,7.72,5.44
Beira,48.2,100,20,4.7,43.2
Price,37.4,37,1,12.75,39.6
Port Hedland,89.6,27,0,17.22,-20.31
San Jose,81.35,90,32,3.02,15.79
College,42.8,93,75,8.05,64.86
Severodvinsk,48.2,100,90,4.47,64.56
Ahaus,51.8,93,0,2.24,52.08
Canico,69.8,72,20,3.36,32.63
Foz,60.29,100,48,7.16,43.57
Bud,48.2,93,0,8.05,62.91
Huarmey,54.89,88,36,2.01,-10.07
Vavuniya,87.83,86,36,6.04,8.76
Rafraf,66.2,93,0,2.24,37.19
Aksarka,31.49,94,92,27.18,66.56
Havre-Saint-Pierre,42.8,100,90,17.22,50.23
Sambava,74.69,100,56,8.95,-14.27
Moron,77,88,40,2.57,10.49
Goderich,41.75,80,8,17.56,43.74
Timra,39.2,100,0,3.36,62.49
Cherdyn,38.69,98,92,6.49,60.4
Suicheng,71.99,58,0,5.7,33.9
Ballina,48.2,93,75,18.34,54.11
Abu Zabad,76.13,41,0,6.38,12.35
Semnan,56.87,100,32,4.14,35.58
Fare,78.56,100,0,10.74,-16.7
Ambilobe,83.42,51,0,6.49,-13.19
Northam,55.4,100,90,4.7,51.04
Vendas Novas,62.6,100,75,3.36,38.68
Baillif,78.8,83,76,3.36,16.02
Dabakala,70.46,97,48,3.02,8.36
Buchanan,75.2,94,75,2.68,5.88
Caraquet,51.8,100,75,6.93,47.79
Sunbury,53.6,62,75,7.61,40.86
Oriximina,84.05,68,44,5.03,-1.77
Glendive,51.8,65,90,9.17,47.11
Lwowek Slaski,48.95,72,0,6.04,51.11
Birao,72.8,64,0,1.57,10.3
Dongsheng,72.17,73,24,7.49,29.72
Roald,48.2,70,0,8.05,62.58
Ahipara,57.95,78,76,9.95,-35.17
Povazska Bystrica,55.4,93,0,3.36,49.12
Medyn,45.08,86,8,10.51,54.97
Karaton,89.6,59,20,8.05,-6.34
Kletskaya,55.88,87,0,4.36,49.31
Meulaboh,77.84,100,88,6.6,4.14
Ankang,63.26,53,92,2.46,32.73
Douglas,48.2,70,90,13.87,31.34
San Angelo,38.06,99,92,15.77,31.46
Sorland,48.2,76,40,25.28,67.67
Presidencia Roque Saenz Pena,53.45,78,0,2.91,-26.79
Kailua,78.8,69,90,9.17,21.39
Mabaruma,79.46,95,92,3.91,8.2
Bowling Green,46.4,93,90,8.05,36.99
Paragould,44.6,93,1,3.36,36.06
Kango,73.43,98,92,2.01,0.19
Buckeye,68,34,40,12.75,33.37
Biltine,76.76,21,0,15.55,14.53
Nokaneng,75.41,23,0,7.49,-19.66
Mbaiki,73.52,91,20,3.02,3.87
Vostok,34.64,77,88,4.92,46.45
Anage,73.97,64,68,9.4,-14.61
Salinopolis,80.54,98,12,13.42,-0.61
Medicine Hat,50,53,90,3.36,50.04
Sitka,26.99,75,0,4.7,37.17
Namtsy,27.26,75,44,4.03,62.72
Hay River,33.8,86,75,5.82,60.82
Bela,91.34,17,48,3.47,26.23
Mantamados,68,77,0,9.17,39.31
Evensk,33.38,100,0,8.5,61.92
Bambous Virieux,78.8,57,40,16.11,-20.34
Rocha,52.28,84,0,6.38,-34.48
Bambanglipuro,89.81,50,8,7.61,-7.95
Narang,84.2,35,40,6.93,32.43
Avera,73.4,100,90,5.59,33.19
Linxia,44.09,85,64,3.47,35.6
Dehloran,83.87,25,0,4.36,32.69
Schwaigern,50,93,0,1.12,49.14
Panguipulli,50,87,90,11.41,-39.64
Sola,39.2,100,0,2.24,58.89
Kyaikto,87.83,77,12,3.58,17.31
Suisun City,60.8,26,1,3.36,38.24
Plastun,39.23,52,0,7.94,44.76
Coari,79.82,80,0,7.16,-4.09
Iqaluit,14,72,40,10.29,63.75
Nizhniy Tsasuchey,48.86,44,0,3.91,50.52
